Date,Close,Volume
6/20/2023,185.009995,49799100
6/21/2023,183.960007,49515700
6/22/2023,187,51245300
6/23/2023,186.679993,53079300
6/26/2023,185.270004,48088700
6/27/2023,188.059998,50730800
6/28/2023,189.25,51216800
6/29/2023,189.589996,46347300
6/30/2023,193.970001,85069600
7/3/2023,192.460007,31458200
7/5/2023,191.330002,46920300
7/6/2023,191.809998,45094300
7/7/2023,190.679993,46778000
7/10/2023,188.610001,59922200
7/11/2023,188.080002,46638100
7/12/2023,189.770004,60750200
7/13/2023,190.539993,41342300
7/14/2023,190.690002,41573900
7/17/2023,193.990005,50520200
7/18/2023,193.729996,48353800
7/19/2023,195.100006,80507300
7/20/2023,193.130005,59581200
7/21/2023,191.940002,71917800
7/24/2023,192.75,45377800
7/25/2023,193.619995,37283200
7/26/2023,194.5,47471900
7/27/2023,193.220001,47460200
7/28/2023,195.830002,48291400
7/31/2023,196.449997,38824100
8/1/2023,195.610001,35175100
8/2/2023,192.580002,50389300
8/3/2023,191.169998,61235200
8/4/2023,181.990005,115799700
8/7/2023,178.850006,97576100
8/8/2023,179.800003,67823000
8/9/2023,178.190002,60378500
8/10/2023,177.970001,54686900
8/11/2023,177.789993,51988100
8/14/2023,179.460007,43675600
8/15/2023,177.449997,43622600
8/16/2023,176.570007,46964900
8/17/2023,174,66062900
8/18/2023,174.490005,61114200
8/21/2023,175.839996,46311900
8/22/2023,177.229996,42084200
8/23/2023,181.119995,52722800
8/24/2023,176.380005,54945800
8/25/2023,178.610001,51449600
8/28/2023,180.190002,43820700
8/29/2023,184.119995,53003900
8/30/2023,187.649994,60813900
8/31/2023,187.869995,60794500
9/1/2023,189.460007,45732600
9/5/2023,189.699997,45280000
9/6/2023,182.910004,81755800
9/7/2023,177.559998,112488800
9/8/2023,178.179993,65551300
9/11/2023,179.360001,58953100
9/12/2023,176.300003,90370200
9/13/2023,174.210007,84267900
9/14/2023,175.740005,60895800
9/15/2023,175.009995,109205100
9/18/2023,177.970001,67257600
9/19/2023,179.070007,51826900
9/20/2023,175.490005,58436200
9/21/2023,173.929993,63047900
9/22/2023,174.789993,56725400
9/25/2023,176.080002,46172700
9/26/2023,171.960007,64588900
9/27/2023,170.429993,66921800
9/28/2023,170.690002,56294400
9/29/2023,171.210007,51814200
10/2/2023,173.75,52164500
10/3/2023,172.399994,49594600
10/4/2023,173.660004,53020300
10/5/2023,174.910004,48527900
10/6/2023,177.490005,57224100
10/9/2023,178.990005,42390800
10/10/2023,178.389999,43698000
10/11/2023,179.800003,47551100
10/12/2023,180.710007,56743100
10/13/2023,178.850006,51427100
10/16/2023,178.720001,52517000
10/17/2023,177.149994,57549400
10/18/2023,175.839996,54764400
10/19/2023,175.460007,59302900
10/20/2023,172.880005,64189300
10/23/2023,173,55980100
10/24/2023,173.440002,43816600
10/25/2023,171.100006,57157000
10/26/2023,166.889999,70625300
10/27/2023,168.220001,58499100
10/30/2023,170.289993,51131000
10/31/2023,170.770004,44846000
11/1/2023,173.970001,56934900
11/2/2023,177.570007,77334800
11/3/2023,176.649994,79763700
11/6/2023,179.229996,63841300
11/7/2023,181.820007,70530000
11/8/2023,182.889999,49340300
11/9/2023,182.410004,53763500
11/10/2023,186.399994,66133400
11/13/2023,184.800003,43627500
11/14/2023,187.440002,60108400
11/15/2023,188.009995,53790500
11/16/2023,189.710007,54412900
11/17/2023,189.690002,50922700
11/20/2023,191.449997,46505100
11/21/2023,190.639999,38134500
11/22/2023,191.309998,39617700
11/24/2023,189.970001,24048300
11/27/2023,189.789993,40552600
11/28/2023,190.399994,38415400
11/29/2023,189.369995,43014200
11/30/2023,189.949997,48794400
12/1/2023,191.240005,45679300
12/4/2023,189.429993,43389500
12/5/2023,193.419998,66628400
12/6/2023,192.320007,41089700
12/7/2023,194.270004,47477700
12/8/2023,195.710007,53377300
12/11/2023,193.179993,60943700
12/12/2023,194.710007,52696900
12/13/2023,197.960007,70404200
12/14/2023,198.110001,66831600
12/15/2023,197.570007,128256700
12/18/2023,195.889999,55751900
12/19/2023,196.940002,40714100
12/20/2023,194.830002,52242800
12/21/2023,194.679993,46482500
12/22/2023,193.600006,37122800
12/26/2023,193.050003,28919300
12/27/2023,193.149994,48087700
12/28/2023,193.580002,34049900
12/29/2023,192.529999,42628800
1/2/2024,185.639999,82488700
1/3/2024,184.25,58414500
1/4/2024,181.910004,71983600
1/5/2024,181.179993,62303300
1/8/2024,185.559998,59144500
1/9/2024,185.139999,42841800
1/10/2024,186.190002,46792900
1/11/2024,185.589996,49128400
1/12/2024,185.919998,40444700
1/16/2024,183.630005,65603000
1/17/2024,182.679993,47317400
1/18/2024,188.630005,78005800
1/19/2024,191.559998,68741000
1/22/2024,193.889999,60133900
1/23/2024,195.179993,42355600
1/24/2024,194.5,53631300
1/25/2024,194.169998,54822100
1/26/2024,192.419998,44594000
1/29/2024,191.729996,47145600
1/30/2024,188.039993,55859400
1/31/2024,184.399994,55467800
2/1/2024,186.860001,64885400
2/2/2024,185.850006,102518000
2/5/2024,187.679993,69668800
2/6/2024,189.300003,43490800
2/7/2024,189.410004,53439000
2/8/2024,188.320007,40962000
2/9/2024,188.850006,45155200
2/12/2024,187.149994,41781900
2/13/2024,185.039993,56529500
2/14/2024,184.149994,54630500
2/15/2024,183.860001,65434500
2/16/2024,182.309998,49701400
2/20/2024,181.559998,53665600
2/21/2024,182.320007,41529700
2/22/2024,184.369995,52292200
2/23/2024,182.520004,45119700
2/26/2024,181.160004,40867400
2/27/2024,182.630005,54318900
2/28/2024,181.419998,48953900
2/29/2024,180.75,136682600
3/1/2024,179.660004,73488000
3/4/2024,175.100006,81510100
3/5/2024,170.119995,95132400
3/6/2024,169.119995,68587700
3/7/2024,169,71765100
3/8/2024,170.729996,76114600
3/11/2024,172.75,60139500
3/12/2024,173.229996,59825400
3/13/2024,171.130005,52488700
3/14/2024,173,72913500
3/15/2024,172.619995,121664700
3/18/2024,173.720001,75604200
3/19/2024,176.080002,55215200
3/20/2024,178.669998,53423100
3/21/2024,171.369995,106181300
3/22/2024,172.279999,71106600
3/25/2024,170.850006,54288300
3/26/2024,169.710007,57388400
3/27/2024,173.309998,60273300
3/28/2024,171.479996,65672700
4/1/2024,170.029999,46240500
4/2/2024,168.839996,49329500
4/3/2024,169.649994,47691700
4/4/2024,168.820007,53704400
4/5/2024,169.580002,42055200
4/8/2024,168.449997,37425500
4/9/2024,169.669998,42451200
4/10/2024,167.779999,49709300
4/11/2024,175.039993,91070300
4/12/2024,176.550003,101593300
4/15/2024,172.690002,73531800
4/16/2024,169.380005,73711200
4/17/2024,168,50901200
4/18/2024,167.039993,43122900
4/19/2024,165,67772100
4/22/2024,165.839996,48116400
4/23/2024,166.899994,49537800
4/24/2024,169.020004,48251800
4/25/2024,169.889999,50558300
4/26/2024,169.300003,44838400
4/29/2024,173.5,68169400
4/30/2024,170.330002,65934800
5/1/2024,169.300003,50383100
5/2/2024,173.029999,94214900
5/3/2024,183.380005,163224100
5/6/2024,181.710007,78569700
5/7/2024,182.399994,77305800
5/8/2024,182.740005,45057100
5/9/2024,184.570007,48983000
5/10/2024,183.050003,50759500
5/13/2024,186.279999,72044800
5/14/2024,187.429993,52393600
5/15/2024,189.720001,70400000
5/16/2024,189.839996,52845200
5/17/2024,189.869995,41282900
5/20/2024,191.039993,44361300
5/21/2024,192.350006,42309400
5/22/2024,190.899994,34648500
5/23/2024,186.880005,51005900
5/24/2024,189.979996,36294600
5/28/2024,189.990005,52280100
5/29/2024,190.289993,53068000
5/30/2024,191.289993,49947900
5/31/2024,192.25,75158300
6/3/2024,194.029999,50080500
6/4/2024,194.350006,47471400
6/5/2024,195.869995,54156800
6/6/2024,194.479996,41181800
6/7/2024,196.889999,53103900
6/10/2024,193.119995,97262100
6/11/2024,207.149994,172373300
6/12/2024,213.070007,198134300
6/13/2024,214.240005,97862700
6/14/2024,212.490005,70122700
6/17/2024,216.669998,93609800
6/18/2024,212.490005,70122700
